date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2015-01-01,6,-3,0.0,8.7,2,2,72,03:24 PM,04:37 AM,08:00 AM,05:51 PM,-19,-0,1,-0,9,0,22,0.0,1020,6,10,153,5
2015-01-02,9,-1,0.0,8.7,2,2,80,04:11 PM,05:35 AM,08:00 AM,05:52 PM,-12,3,3,3,7,1,34,0.0,1020,9,10,228,4
2015-01-03,11,1,0.0,8.7,3,3,87,05:02 PM,06:28 AM,08:01 AM,05:53 PM,-10,4,6,4,14,4,32,0.0,1023,11,10,247,7
2015-01-04,12,3,0.0,8.7,3,3,94,05:55 PM,07:19 AM,08:01 AM,05:53 PM,-6,6,7,6,8,4,41,0.0,1027,12,10,164,4
2015-01-05,15,4,0.0,8.7,3,3,100,06:49 PM,08:04 AM,08:01 AM,05:54 PM,-8,8,9,8,13,1,31,0.0,1027,15,10,81,7
2015-01-06,18,7,0.0,8.7,4,4,100,07:44 PM,08:45 AM,08:01 AM,05:55 PM,-2,11,12,11,19,1,38,0.0,1024,18,10,100,11
2015-01-07,19,9,0.0,8.7,4,4,84,08:38 PM,09:23 AM,08:01 AM,05:56 PM,-1,13,13,13,14,14,39,0.0,1021,19,10,57,8
2015-01-08,19,8,0.0,8.7,4,4,77,09:32 PM,09:57 AM,08:01 AM,05:57 PM,-2,13,13,13,11,20,38,0.0,1017,19,10,221,6
2015-01-09,17,9,0.0,8.7,4,4,69,10:25 PM,10:29 AM,08:01 AM,05:58 PM,-6,12,13,12,9,25,28,0.0,1015,17,10,215,5
2015-01-10,15,6,0.0,8.7,4,4,62,11:19 PM,11:01 AM,08:01 AM,05:59 PM,-2,10,10,10,10,23,43,0.0,1015,15,10,203,6
2015-01-11,12,7,0.0,5.3,2,2,55,No moonrise,11:32 AM,08:01 AM,05:59 PM,4,7,9,7,15,46,75,5.6,1018,12,10,81,10
2015-01-12,13,6,0.0,10.0,3,3,48,12:13 AM,12:04 PM,08:00 AM,06:00 PM,2,7,9,7,18,10,66,0.0,1020,13,10,284,11
2015-01-13,13,5,0.0,10.0,3,3,40,01:08 AM,12:37 PM,08:00 AM,06:01 PM,-1,8,9,8,13,4,53,0.0,1021,13,10,177,8
2015-01-14,13,4,0.0,10.0,3,3,33,02:04 AM,01:14 PM,08:00 AM,06:02 PM,-5,8,8,8,8,0,40,0.0,1023,13,10,172,5
2015-01-15,14,4,0.0,10.0,3,3,26,03:02 AM,01:56 PM,08:00 AM,06:03 PM,-4,8,9,8,6,22,41,0.0,1025,14,10,166,4
2015-01-16,15,5,0.0,10.0,3,3,19,04:01 AM,02:42 PM,08:00 AM,06:04 PM,-4,9,10,9,8,16,38,0.0,1023,15,10,151,5
2015-01-17,17,6,0.0,10.5,4,4,11,05:00 AM,03:35 PM,07:59 AM,06:05 PM,-3,11,11,11,8,21,40,0.0,1023,17,10,249,4
2015-01-18,19,8,0.0,6.8,3,3,4,05:59 AM,04:34 PM,07:59 AM,06:06 PM,-4,12,12,12,6,69,34,0.0,1023,19,10,158,3
2015-01-19,18,8,0.0,10.5,4,4,0,06:55 AM,05:39 PM,07:59 AM,06:07 PM,-5,11,12,11,15,36,30,0.0,1021,18,10,276,8
2015-01-20,15,9,0.0,8.4,4,4,0,07:47 AM,06:47 PM,07:58 AM,06:08 PM,-5,11,11,11,11,52,32,0.0,1017,15,10,208,6
2015-01-21,15,6,0.0,10.5,4,4,3,08:35 AM,07:58 PM,07:58 AM,06:09 PM,-7,9,10,9,14,2,29,0.0,1019,15,10,145,8
2015-01-22,14,4,0.0,10.0,3,3,10,09:19 AM,09:07 PM,07:57 AM,06:10 PM,-10,9,9,9,7,45,26,0.0,1024,14,10,140,4
2015-01-23,15,4,0.0,10.5,3,3,18,10:01 AM,10:16 PM,07:57 AM,06:11 PM,-11,9,9,9,9,1,23,0.0,1025,15,10,114,5
2015-01-24,17,6,0.0,10.6,4,4,25,10:40 AM,11:23 PM,07:56 AM,06:12 PM,-11,10,11,10,18,0,22,0.0,1022,17,10,116,12
2015-01-25,19,7,0.0,10.6,4,4,32,11:20 AM,No moonset,07:56 AM,06:13 PM,-5,12,13,12,13,8,30,0.0,1020,19,10,94,8
2015-01-26,15,10,0.0,10.0,4,4,39,11:59 AM,12:28 AM,07:55 AM,06:14 PM,1,11,12,11,26,65,48,1.7,1018,15,10,84,17
2015-01-27,14,8,0.0,10.6,4,4,47,12:40 PM,01:31 AM,07:55 AM,06:15 PM,6,10,11,10,9,37,73,0.2,1022,14,10,65,6
2015-01-28,15,8,0.0,8.5,4,4,54,01:24 PM,02:31 AM,07:54 AM,06:16 PM,4,11,12,11,14,51,63,0.0,1022,15,10,44,9
2015-01-29,17,9,0.0,10.0,4,4,61,02:10 PM,03:30 AM,07:53 AM,06:17 PM,1,13,13,13,14,62,43,0.0,1018,17,10,93,9
2015-01-30,15,10,0.0,8.5,4,4,69,02:59 PM,04:24 AM,07:53 AM,06:18 PM,4,11,12,11,11,79,61,0.8,1014,15,8,248,7
2015-01-31,16,7,0.0,10.7,4,4,72,03:50 PM,05:15 AM,07:52 AM,06:19 PM,1,11,11,11,13,15,51,0.0,1014,16,10,181,9
2015-02-01,17,6,0.0,10.7,4,4,86,04:43 PM,06:01 AM,07:51 AM,06:20 PM,-5,11,11,11,8,15,35,0.0,1019,17,10,196,5
2015-02-02,19,7,0.0,10.7,4,4,94,05:37 PM,06:44 AM,07:50 AM,06:21 PM,-5,13,13,13,10,6,30,0.0,1019,19,10,202,5
2015-02-03,20,8,0.0,10.7,4,4,100,06:31 PM,07:23 AM,07:50 AM,06:22 PM,-5,13,14,13,15,5,28,0.0,1019,20,10,256,8
2015-02-04,22,9,0.0,10.7,5,5,100,07:25 PM,07:58 AM,07:49 AM,06:23 PM,-5,15,15,15,9,1,25,0.0,1018,22,10,216,5
2015-02-05,22,10,0.0,10.0,5,5,84,08:19 PM,08:31 AM,07:48 AM,06:24 PM,-2,16,16,16,8,22,31,0.0,1017,22,10,219,5
2015-02-06,22,9,0.0,10.8,4,4,76,09:12 PM,09:03 AM,07:47 AM,06:25 PM,-3,14,15,14,25,6,32,0.0,1018,22,10,224,15
2015-02-07,20,10,0.0,10.8,4,4,69,10:06 PM,09:34 AM,07:46 AM,06:26 PM,3,13,14,13,28,15,49,0.0,1019,20,10,241,18
2015-02-08,22,10,0.0,10.8,4,4,61,10:59 PM,10:05 AM,07:45 AM,06:27 PM,5,14,15,14,21,3,53,0.0,1020,22,10,245,13
2015-02-09,20,10,0.0,10.8,4,4,53,11:54 PM,10:38 AM,07:44 AM,06:28 PM,4,13,14,13,26,3,56,0.0,1019,20,10,270,17
2015-02-10,19,8,0.0,10.9,4,4,46,No moonrise,11:13 AM,07:44 AM,06:29 PM,2,13,13,13,18,1,48,0.0,1018,19,10,158,11
2015-02-11,20,9,0.0,10.9,4,4,38,12:50 AM,11:51 AM,07:43 AM,06:30 PM,-7,14,14,14,17,4,23,0.0,1021,20,10,50,10
2015-02-12,21,10,0.0,10.9,4,4,31,01:47 AM,12:33 PM,07:42 AM,06:31 PM,-8,15,15,15,16,3,21,0.0,1022,21,10,43,10
2015-02-13,23,10,0.0,10.9,5,5,23,02:44 AM,01:22 PM,07:41 AM,06:32 PM,-9,16,16,16,11,0,18,0.0,1019,23,10,137,7
2015-02-14,24,11,0.0,10.9,5,5,16,03:42 AM,02:16 PM,07:40 AM,06:33 PM,-4,17,17,17,14,0,24,0.0,1018,24,10,126,8
2015-02-15,23,11,0.0,11.0,5,5,8,04:38 AM,03:17 PM,07:38 AM,06:34 PM,-3,17,17,17,16,1,28,0.0,1015,23,10,205,9
2015-02-16,26,12,0.0,11.0,5,5,1,05:31 AM,04:22 PM,07:37 AM,06:35 PM,-2,18,18,18,26,1,31,0.0,1014,26,10,282,15
2015-02-17,22,12,0.0,11.0,5,5,0,06:21 AM,05:32 PM,07:36 AM,06:36 PM,-3,16,16,16,14,1,29,0.0,1018,22,10,122,9
2015-02-18,21,10,0.0,11.0,5,5,0,07:08 AM,06:42 PM,07:35 AM,06:37 PM,-8,16,16,16,11,3,22,0.0,1020,21,10,120,6
2015-02-19,24,11,0.0,11.0,5,5,0,07:52 AM,07:53 PM,07:34 AM,06:38 PM,-2,16,16,16,19,11,33,0.0,1017,24,10,236,11
2015-02-20,22,11,0.0,10.1,4,4,7,08:33 AM,09:03 PM,07:33 AM,06:39 PM,-0,15,16,15,19,52,35,0.0,1014,22,10,238,10
2015-02-21,20,9,0.0,11.1,4,4,14,09:15 AM,10:12 PM,07:32 AM,06:40 PM,-2,13,14,13,28,1,38,0.0,1011,20,10,270,18
2015-02-22,12,6,0.0,5.6,3,3,22,09:56 AM,11:18 PM,07:31 AM,06:41 PM,3,7,9,7,24,60,68,4.6,1010,12,10,183,17
2015-02-23,10,4,0.0,11.1,3,3,29,10:38 AM,No moonset,07:29 AM,06:42 PM,-3,5,7,5,16,24,51,1.1,1017,10,10,83,12
2015-02-24,15,4,0.0,11.2,3,3,37,11:22 AM,12:22 AM,07:28 AM,06:43 PM,-6,8,9,8,19,2,36,0.0,1023,15,10,275,11
2015-02-25,19,7,0.0,8.6,4,4,44,12:08 PM,01:23 AM,07:27 AM,06:44 PM,-5,11,12,11,15,23,31,0.0,1020,19,10,240,9
2015-02-26,18,8,0.0,11.2,4,4,52,12:56 PM,02:19 AM,07:26 AM,06:45 PM,-3,11,12,11,24,15,34,0.0,1013,18,10,268,14
2015-02-27,17,7,0.0,11.2,4,4,60,01:47 PM,03:12 AM,07:24 AM,06:46 PM,0,9,11,9,35,4,49,0.0,1007,17,10,274,25
2015-02-28,12,5,0.0,11.2,3,3,67,02:39 PM,03:59 AM,07:23 AM,06:46 PM,-0,5,8,5,30,11,56,0.1,1008,12,10,249,22
2015-03-01,9,5,0.0,11.3,2,2,72,03:33 PM,04:43 AM,07:22 AM,06:47 PM,-0,4,7,4,21,27,63,1.0,1014,9,10,73,16
2015-03-02,12,4,0.0,11.3,3,3,79,04:26 PM,05:23 AM,07:21 AM,06:48 PM,-0,5,7,5,21,19,60,0.1,1012,12,10,251,15
2015-03-03,13,4,0.0,11.3,3,3,86,05:20 PM,05:59 AM,07:19 AM,06:49 PM,-1,7,8,7,12,11,56,0.0,1014,13,10,227,8
2015-03-04,14,5,0.0,11.3,3,3,94,06:13 PM,06:33 AM,07:18 AM,06:50 PM,-8,8,9,8,13,2,29,0.0,1019,14,10,88,8
2015-03-05,17,6,0.0,11.3,4,4,100,07:07 PM,07:05 AM,07:17 AM,06:51 PM,-11,10,11,10,10,3,22,0.0,1025,17,10,100,6
2015-03-06,21,7,0.0,11.4,4,4,100,08:00 PM,07:37 AM,07:15 AM,06:52 PM,-11,14,14,14,16,1,18,0.0,1022,21,10,60,10
2015-03-07,23,9,0.0,11.4,5,5,84,08:54 PM,08:08 AM,07:14 AM,06:53 PM,-8,15,15,15,11,2,20,0.0,1018,23,10,182,6
2015-03-08,24,11,0.0,11.4,5,5,77,09:49 PM,08:40 AM,07:13 AM,06:54 PM,-7,16,16,16,21,2,20,0.0,1015,24,10,254,11
2015-03-09,23,11,0.0,11.4,5,5,70,10:43 PM,09:14 AM,07:11 AM,06:54 PM,-7,17,17,17,15,1,22,0.0,1015,23,10,175,9
2015-03-10,19,7,0.0,8.7,3,3,63,11:40 PM,09:51 AM,07:10 AM,06:55 PM,-4,12,13,12,18,41,36,0.5,1017,19,10,221,11
2015-03-11,19,7,0.0,8.7,4,4,55,No moonrise,10:31 AM,07:08 AM,06:56 PM,-3,11,12,11,19,42,40,0.2,1017,19,10,193,12
2015-03-12,19,7,0.0,11.5,4,4,48,12:35 AM,11:16 AM,07:07 AM,06:57 PM,-2,11,12,11,21,22,40,0.0,1017,19,10,214,13
2015-03-13,20,9,0.0,10.1,4,4,41,01:31 AM,12:06 PM,07:06 AM,06:58 PM,-1,12,13,12,24,35,42,0.0,1017,20,10,215,16
2015-03-14,20,8,0.0,8.7,3,3,34,02:26 AM,01:02 PM,07:04 AM,06:59 PM,-3,12,13,12,25,45,38,0.0,1017,20,10,230,16
2015-03-15,19,8,0.0,10.1,4,4,26,03:19 AM,02:02 PM,07:03 AM,06:59 PM,-2,12,13,12,23,35,40,0.0,1018,19,10,233,15
2015-03-16,20,8,0.0,10.2,4,4,19,04:08 AM,03:08 PM,07:01 AM,07:00 PM,-1,12,13,12,25,16,41,0.0,1017,20,10,225,16
2015-03-17,19,8,0.0,8.8,3,3,12,04:55 AM,04:16 PM,07:00 AM,07:01 PM,-4,11,13,11,26,48,37,0.2,1015,19,10,242,17
2015-03-18,19,7,0.0,10.3,3,3,4,05:40 AM,05:26 PM,06:59 AM,07:02 PM,-5,11,13,11,22,39,34,0.0,1015,19,10,236,14
2015-03-19,25,12,0.0,11.6,5,5,0,06:22 AM,06:37 PM,06:57 AM,07:03 PM,-3,18,18,18,27,6,33,0.0,1015,25,10,199,16
2015-03-20,25,13,0.0,8.9,5,5,0,07:04 AM,07:47 PM,06:56 AM,07:04 PM,-4,19,18,19,19,39,26,0.0,1017,25,10,240,11
2015-03-21,25,13,0.0,8.9,5,5,3,07:46 AM,08:57 PM,06:54 AM,07:04 PM,-3,18,18,18,33,47,26,0.0,1017,25,10,271,21
2015-03-22,23,13,0.0,8.9,4,4,10,08:29 AM,10:04 PM,06:53 AM,07:05 PM,-0,16,17,16,35,63,34,0.0,1019,23,10,262,24
2015-03-23,20,9,0.0,11.6,4,4,17,09:14 AM,11:09 PM,06:52 AM,07:06 PM,3,12,14,12,34,5,52,0.0,1019,20,10,273,25
2015-03-24,21,9,0.0,10.3,4,4,24,10:01 AM,No moonset,06:50 AM,07:07 PM,3,12,14,12,29,20,51,0.0,1019,21,10,293,21
2015-03-25,24,10,0.0,11.6,5,5,32,10:50 AM,12:09 AM,06:49 AM,07:08 PM,-0,16,16,16,18,3,39,0.0,1020,24,10,165,12
2015-03-26,26,13,0.0,11.6,5,5,39,11:41 AM,01:05 AM,06:47 AM,07:09 PM,-4,19,19,19,11,14,21,0.0,1020,26,10,152,7
2015-03-27,29,15,0.0,11.6,6,6,46,12:33 PM,01:55 AM,06:46 AM,07:09 PM,-3,22,21,22,19,0,20,0.0,1018,29,10,262,11
2015-03-28,29,15,0.0,11.6,6,6,54,01:27 PM,02:41 AM,06:44 AM,07:10 PM,-2,21,21,21,28,0,24,0.0,1017,29,10,268,16
2015-03-29,29,14,0.0,11.6,6,6,61,02:21 PM,03:22 AM,06:43 AM,07:11 PM,-2,21,20,21,20,5,25,0.0,1016,29,10,222,11
2015-03-30,29,15,0.0,11.6,6,6,68,03:15 PM,03:59 AM,06:42 AM,07:12 PM,-1,22,21,22,22,2,25,0.0,1015,29,10,231,12
2015-03-31,24,15,0.0,11.6,5,5,72,04:08 PM,04:34 AM,06:40 AM,07:13 PM,-3,19,19,19,39,30,23,0.0,1013,24,10,279,26
2015-04-01,22,9,0.0,11.6,4,4,86,05:01 PM,05:07 AM,06:39 AM,07:13 PM,-7,13,15,13,28,12,26,0.0,1014,22,10,275,19
2015-04-02,19,7,0.0,11.6,4,4,93,05:55 PM,05:39 AM,06:37 AM,07:14 PM,-9,12,13,12,22,15,24,0.0,1017,19,10,217,14
2015-04-03,22,12,0.0,11.6,5,5,100,06:49 PM,06:10 AM,06:36 AM,07:15 PM,-12,15,16,15,22,0,15,0.0,1019,22,10,138,14
2015-04-04,24,11,0.0,11.6,5,5,100,07:44 PM,06:42 AM,06:35 AM,07:16 PM,-8,17,17,17,25,13,20,0.0,1012,24,10,258,16
2015-04-05,20,10,0.0,11.6,4,4,84,08:38 PM,07:16 AM,06:33 AM,07:17 PM,-3,13,14,13,33,7,33,0.0,1009,20,10,259,24
2015-04-06,17,7,0.0,10.3,4,4,77,09:35 PM,07:52 AM,06:32 AM,07:17 PM,-2,9,11,9,33,16,45,0.0,1012,17,10,248,25
2015-04-07,15,5,0.0,11.6,3,3,69,10:31 PM,08:31 AM,06:30 AM,07:18 PM,-0,6,9,6,37,14,53,0.0,1014,15,10,242,28
2015-04-08,15,4,0.0,11.6,3,3,61,11:27 PM,09:14 AM,06:29 AM,07:19 PM,-6,7,10,7,20,2,36,0.0,1017,15,10,254,13
2015-04-09,20,8,0.0,11.6,4,4,54,No moonrise,10:02 AM,06:28 AM,07:20 PM,-12,13,14,13,20,32,17,0.0,1014,20,10,192,13
2015-04-10,21,10,0.0,11.6,5,5,46,12:21 AM,10:55 AM,06:26 AM,07:21 PM,-4,15,15,15,17,34,27,0.0,1014,21,10,252,11
2015-04-11,22,10,0.0,10.3,5,5,39,01:13 AM,11:53 AM,06:25 AM,07:22 PM,-3,15,16,15,26,16,30,0.0,1013,22,10,292,17
2015-04-12,26,10,0.0,11.6,5,5,31,02:02 AM,12:54 PM,06:24 AM,07:22 PM,-2,18,18,18,17,2,31,0.0,1013,26,10,203,11
2015-04-13,20,8,0.0,9.1,3,3,24,02:48 AM,01:59 PM,06:22 AM,07:23 PM,-2,12,13,12,26,36,41,0.7,1014,20,10,233,18
2015-04-14,20,8,0.0,9.1,3,3,16,03:33 AM,03:06 PM,06:21 AM,07:24 PM,-4,12,13,12,25,44,36,0.0,1014,20,10,236,18
2015-04-15,19,11,0.0,11.6,4,4,9,04:14 AM,04:13 PM,06:20 AM,07:25 PM,-10,13,14,13,23,6,25,0.0,1015,19,10,173,14
2015-04-16,21,8,0.0,11.6,4,4,1,04:55 AM,05:23 PM,06:19 AM,07:26 PM,-13,13,14,13,20,0,16,0.0,1016,21,10,148,11
2015-04-17,25,12,0.0,11.6,5,5,0,05:36 AM,06:32 PM,06:17 AM,07:26 PM,-8,18,18,18,23,0,17,0.0,1016,25,10,251,14
2015-04-18,27,13,0.0,11.6,6,6,0,06:18 AM,07:41 PM,06:16 AM,07:27 PM,-4,20,20,20,23,0,21,0.0,1014,27,10,273,14
2015-04-19,28,15,0.0,11.6,6,6,0,07:02 AM,08:48 PM,06:15 AM,07:28 PM,-4,21,21,21,23,0,21,0.0,1011,28,10,261,14
2015-04-20,26,15,0.0,11.6,6,6,6,07:49 AM,09:52 PM,06:14 AM,07:29 PM,2,20,20,20,22,2,32,0.0,1009,26,10,251,15
2015-04-21,21,14,0.0,11.6,5,5,14,08:38 AM,10:52 PM,06:12 AM,07:30 PM,6,17,17,17,24,15,49,0.2,1009,21,10,244,18
2015-04-22,21,11,0.0,11.6,5,5,21,09:30 AM,11:46 PM,06:11 AM,07:30 PM,5,15,16,15,20,9,54,0.0,1009,21,10,236,15
