,Location,Precipitation(MM),Humidity,Temperature,Wind Speed,Wind Gust,Cloud Cover,Date
0,"37.342186,-121.717706",0.0,25,41,10,16,1,2013-02-24
1,"37.342186,-121.717706",0.0,23,76,5,8,0,2013-04-20
2,"37.342186,-121.717706",0.0,33,78,5,7,2,2013-04-30
3,"37.342186,-121.717706",0.0,25,59,12,19,1,2013-05-01
4,"37.342186,-121.717706",0.0,31,83,9,15,3,2013-04-30
5,"37.342186,-121.717706",0.0,20,83,12,18,0,2013-05-01
6,"37.342186,-121.717706",0.0,26,77,11,17,0,2013-05-01
7,"37.342186,-121.717706",0.0,18,93,7,11,0,2013-05-03
8,"37.342186,-121.717706",0.0,19,78,17,27,1,2013-05-01
9,"37.342186,-121.717706",0.0,23,95,5,7,0,2013-05-13
10,"37.342186,-121.717706",0.0,36,75,9,13,21,2013-05-04
11,"37.342186,-121.717706",0.0,48,78,5,8,5,2013-05-15
12,"37.342186,-121.717706",0.0,38,83,12,20,4,2013-05-16
13,"37.342186,-121.717706",0.0,60,70,5,7,11,2013-05-17
14,"37.342186,-121.717706",0.0,38,74,5,8,0,2013-05-19
15,"37.342186,-121.717706",0.0,42,79,7,13,4,2013-05-20
16,"37.342186,-121.717706",0.0,32,81,6,9,0,2013-05-20
17,"37.342186,-121.717706",0.0,21,85,9,14,27,2013-05-21
18,"37.342186,-121.717706",0.0,47,83,6,8,1,2013-05-30
19,"37.342186,-121.717706",0.0,70,69,6,8,0,2013-05-22
20,"37.342186,-121.717706",0.0,45,77,12,18,0,2013-05-23
21,"37.342186,-121.717706",0.0,54,73,7,9,0,2013-05-25
22,"37.342186,-121.717706",0.0,56,72,6,7,1,2013-05-25
23,"37.342186,-121.717706",0.0,44,78,12,18,23,2013-05-26
24,"37.342186,-121.717706",0.0,52,75,13,21,6,2013-05-27
25,"37.342186,-121.717706",0.0,48,76,10,16,3,2013-05-28
26,"37.342186,-121.717706",0.0,65,72,15,24,6,2013-05-28
27,"37.342186,-121.717706",0.0,29,89,6,9,15,2013-06-01
28,"37.342186,-121.717706",0.0,29,88,4,7,0,2013-06-02
29,"37.342186,-121.717706",0.0,27,97,6,11,0,2013-06-03
30,"37.342186,-121.717706",0.0,40,85,5,7,10,2013-06-09
31,"37.342186,-121.717706",0.0,70,71,8,10,35,2013-06-10
32,"37.342186,-121.717706",0.0,46,90,8,12,4,2013-06-04
33,"37.342186,-121.717706",0.0,59,87,5,8,1,2013-06-05
34,"37.342186,-121.717706",0.0,31,83,9,14,3,2013-05-30
35,"37.342186,-121.717706",0.0,45,96,6,9,2,2013-06-08
36,"37.342186,-121.717706",0.0,43,90,5,7,0,2013-06-08
37,"37.342186,-121.717706",0.0,73,65,6,8,34,2013-06-10
38,"37.342186,-121.717706",0.0,39,87,4,5,2,2013-06-12
39,"37.342186,-121.717706",0.0,23,82,5,8,0,2013-06-12
40,"37.342186,-121.717706",0.0,19,88,7,11,0,2013-06-13
41,"37.342186,-121.717706",0.0,33,70,6,9,0,2013-06-16
42,"37.342186,-121.717706",0.0,32,85,4,5,7,2013-06-13
43,"37.342186,-121.717706",0.0,18,88,6,9,0,2013-06-13
44,"37.342186,-121.717706",0.0,47,84,5,7,0,2013-06-14
45,"37.342186,-121.717706",0.0,24,91,8,12,0,2013-06-16
46,"37.342186,-121.717706",0.0,65,72,12,17,13,2013-06-18
47,"37.342186,-121.717706",0.0,32,85,5,8,0,2013-06-17
48,"37.342186,-121.717706",0.0,47,83,4,6,11,2013-06-25
49,"37.342186,-121.717706",0.0,50,76,7,11,2,2013-06-20
50,"37.342186,-121.717706",0.0,26,97,8,11,1,2013-06-28
51,"37.342186,-121.717706",0.0,22,103,4,7,9,2013-07-01
52,"37.342186,-121.717706",0.0,23,99,8,12,0,2013-06-29
53,"37.342186,-121.717706",0.0,39,97,6,9,13,2013-07-01
54,"37.342186,-121.717706",0.0,33,100,9,15,18,2013-07-02
55,"37.342186,-121.717706",0.0,46,89,5,9,7,2013-07-03
56,"37.342186,-121.717706",0.0,31,103,8,13,5,2013-07-04
57,"37.342186,-121.717706",1.5,36,103,9,14,16,2013-07-04
58,"37.342186,-121.717706",0.0,61,79,6,8,0,2013-07-06
59,"37.342186,-121.717706",4.7,60,84,5,7,24,2013-07-06
60,"37.342186,-121.717706",0.0,54,82,6,9,0,2013-07-07
61,"37.342186,-121.717706",0.0,30,93,4,7,0,2013-07-08
62,"37.342186,-121.717706",0.0,21,90,5,8,0,2013-07-09
63,"37.342186,-121.717706",0.0,38,85,5,7,0,2013-07-08
64,"37.342186,-121.717706",0.0,70,73,6,8,0,2013-07-12
65,"37.342186,-121.717706",0.0,37,94,7,11,0,2013-07-12
66,"37.342186,-121.717706",0.0,34,91,8,11,4,2013-07-15
67,"37.342186,-121.717706",0.0,60,80,4,7,1,2013-08-03
68,"37.342186,-121.717706",0.1,30,91,6,9,4,2013-07-25
69,"37.342186,-121.717706",0.0,53,81,6,8,2,2013-07-28
70,"37.342186,-121.717706",0.0,36,80,4,6,29,2013-07-22
71,"37.342186,-121.717706",0.0,66,74,4,5,18,2013-07-31
72,"37.342186,-121.717706",0.0,34,83,7,11,0,2013-08-01
73,"37.342186,-121.717706",0.0,23,88,7,11,1,2013-07-16
74,"37.342186,-121.717706",0.0,30,87,6,9,7,2013-08-04
75,"37.342186,-121.717706",0.1,43,86,6,9,9,2013-07-23
76,"37.342186,-121.717706",0.0,57,85,5,7,26,2013-07-23
77,"37.342186,-121.717706",0.0,14,93,5,8,3,2013-07-19
78,"37.342186,-121.717706",0.0,19,101,4,6,0,2013-07-19
79,"37.342186,-121.717706",0.1,75,72,6,8,18,2013-07-26
80,"37.342186,-121.717706",0.0,36,97,3,5,0,2013-07-19
81,"37.342186,-121.717706",0.0,35,92,5,7,11,2013-07-19
82,"37.342186,-121.717706",0.0,21,94,6,9,15,2013-07-19
83,"37.342186,-121.717706",0.0,29,93,8,13,23,2013-07-22
84,"37.342186,-121.717706",0.0,38,79,4,6,10,2013-08-05
85,"37.342186,-121.717706",0.0,43,84,5,6,1,2013-08-05
86,"37.342186,-121.717706",0.0,14,83,4,6,19,2013-08-06
87,"37.342186,-121.717706",0.0,67,76,5,7,0,2013-08-07
88,"37.342186,-121.717706",0.0,27,83,9,14,32,2013-08-07
89,"37.342186,-121.717706",0.6,83,69,3,5,45,2013-08-10
90,"37.342186,-121.717706",0.0,54,85,4,6,4,2013-08-15
91,"37.342186,-121.717706",0.0,43,90,4,7,6,2013-08-16
92,"37.342186,-121.717706",0.0,34,82,8,12,2,2013-08-08
93,"37.342186,-121.717706",0.0,36,91,3,5,0,2013-08-14
94,"37.342186,-121.717706",0.0,32,93,6,10,1,2013-08-16
95,"37.342186,-121.717706",0.0,53,79,4,7,4,2013-08-10
96,"37.342186,-121.717706",0.0,47,74,5,8,7,2013-08-09
97,"37.342186,-121.717706",0.2,25,94,8,16,3,2013-08-16
98,"37.342186,-121.717706",0.0,53,90,6,9,2,2013-08-16
99,"37.342186,-121.717706",0.0,30,94,6,9,14,2013-08-17
100,"37.342186,-121.717706",0.0,32,93,5,8,3,2013-08-17
101,"37.342186,-121.717706",0.0,26,97,8,14,2,2013-09-09
102,"37.342186,-121.717706",0.0,41,91,6,10,7,2013-08-18
103,"37.342186,-121.717706",2.2,26,89,4,7,7,2013-08-18
104,"37.342186,-121.717706",0.9,50,85,5,9,17,2013-08-19
105,"37.342186,-121.717706",0.0,41,85,6,9,0,2013-09-24
106,"37.342186,-121.717706",0.0,33,89,4,6,1,2013-08-23
107,"37.342186,-121.717706",0.9,27,87,6,10,13,2013-08-20
108,"37.342186,-121.717706",0.0,22,80,6,8,0,2013-08-24
109,"37.342186,-121.717706",0.0,49,80,6,9,3,2013-08-24
110,"37.342186,-121.717706",0.3,36,91,4,6,1,2013-08-24
111,"37.342186,-121.717706",0.0,62,78,4,7,0,2013-09-07
112,"37.342186,-121.717706",0.0,48,92,5,9,0,2013-09-08
113,"37.342186,-121.717706",0.0,29,78,5,6,4,2013-09-08
114,"37.342186,-121.717706",0.0,35,81,6,8,2,2013-09-11
115,"37.342186,-121.717706",0.0,40,88,7,11,0,2013-09-23
116,"37.342186,-121.717706",0.0,36,74,10,14,3,2013-09-05
117,"37.342186,-121.717706",0.0,36,89,5,8,1,2013-08-31
118,"37.342186,-121.717706",0.0,26,92,7,12,0,2013-08-31
119,"37.342186,-121.717706",0.0,29,79,6,10,0,2013-09-07
120,"37.342186,-121.717706",0.0,31,90,5,7,13,2013-08-17
121,"37.342186,-121.717706",0.6,53,81,5,6,18,2013-09-09
122,"37.342186,-121.717706",0.0,53,81,7,12,0,2013-09-15
123,"37.342186,-121.717706",0.0,55,76,10,16,0,2013-09-24
124,"37.342186,-121.717706",0.0,51,76,5,8,13,2013-09-28
125,"37.342186,-121.717706",0.0,25,71,16,25,3,2013-10-03
126,"37.342186,-121.717706",0.0,23,78,12,20,0,2013-10-04
127,"37.342186,-121.717706",0.0,28,82,7,13,0,2013-10-05
128,"37.342186,-121.717706",0.0,25,79,14,25,0,2013-10-04
129,"37.342186,-121.717706",0.0,29,85,5,10,18,2013-10-06
130,"37.342186,-121.717706",0.0,31,66,14,23,3,2013-11-04
131,"37.342186,-121.717706",0.0,40,69,4,7,25,2013-11-07
132,"37.342186,-121.717706",0.0,29,75,3,6,0,2013-11-08
133,"37.342186,-121.717706",0.0,60,68,3,6,2,2013-11-08
134,"37.342186,-121.717706",2.0,47,57,14,22,32,2013-11-21
135,"37.342186,-121.717706",0.0,30,77,7,13,20,2013-11-14
136,"37.342186,-121.717706",0.0,23,65,10,19,0,2013-11-22
137,"37.342186,-121.717706",0.0,18,66,12,21,0,2013-11-22
138,"37.342186,-121.717706",0.0,27,64,7,12,0,2013-11-23
139,"37.342186,-121.717706",0.0,25,64,8,14,0,2013-11-23
140,"37.342186,-121.717706",0.0,58,59,2,4,17,2013-12-31
